DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.latency,FFN.latency,FFN.energy
32,2,1,1,1,2,1,4,12,2,384,64,64,12,2,1,1,1,1,1,1,1,1,1,256,256,256,0.01644255890957447,9730602616760.242,0.001899475930851064,2098200456151.4988,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539092459141.448
32,4,1,1,1,2,1,4,4,2,192,64,64,12,2,1,1,3,1,1,1,1,1,1,256,256,256,0.01644255890957447,9763963529817.162,0.001899475930851064,2131542296861.9966,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539111531487.871
32,96,1,1,1,4,1,2,12,2,8,64,64,12,1,1,2,1,1,1,1,1,1,1,256,256,256,0.01651746994680851,11630190510902.064,0.0020752571808510638,3669945138041.4,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891844143849.266
64,6,1,1,1,4,1,4,1,1,128,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,0.017589957978723404,9834749941022.078,0.003046875,2202309485544.533,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,1,1,1,1,2,1,2,2,1,768,64,64,12,2,1,2,6,1,1,1,1,1,1,256,256,256,0.016324629787234042,10023300596165.594,0.0018824170212765959,2063036150958.5044,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
32,256,1,1,1,4,1,4,2,2,3,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,0.01661834015957447,13974391796332.895,0.0020752571808510638,6341970563377.729,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539111531487.871
64,2,1,1,1,4,1,4,1,1,384,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,0.017589957978723404,9768066259601.082,0.003046875,2135625804123.5376,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,4,1,1,1,4,1,2,2,1,192,64,64,12,1,1,2,6,1,1,1,1,1,1,256,256,256,0.01717906010638298,10119875753048.115,0.002736847340425532,2159611307841.0256,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
16,32,1,1,1,4,1,4,12,4,24,64,64,12,1,1,1,1,1,1,1,1,1,1,256,256,256,0.01644255890957447,10226052058921.203,0.001899475930851064,2593649898312.461,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539092459141.448
64,2,1,1,1,2,1,4,3,1,384,64,64,12,2,1,1,4,1,1,1,1,1,1,256,256,256,0.016928367819148936,9749353585615.062,0.002385284840425532,2116913130137.518,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
16,12,1,1,1,4,1,4,4,4,64,64,64,12,1,1,1,3,1,1,1,1,1,1,256,256,256,0.01644255890957447,9892643112901.459,0.001899475930851064,2260231491207.483,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539101920226.682
64,128,1,1,1,1,1,4,2,1,6,64,64,12,4,1,1,6,1,1,1,1,1,1,256,256,256,0.01665171635638298,11803107865411.375,0.002209503590425532,4208092757905.8696,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,8,1,1,1,2,1,4,4,1,96,64,64,12,2,1,1,3,1,1,1,1,1,1,256,256,256,0.016928367819148936,9849379107746.557,0.002385284840425532,2216938652269.0117,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,64,1,1,1,2,1,4,2,1,12,64,64,12,2,1,1,6,1,1,1,1,1,1,256,256,256,0.016928367819148936,10782950647640.494,0.002385284840425532,3150510192162.9497,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,256,1,1,1,1,1,4,2,1,3,64,64,12,4,1,1,6,1,1,1,1,1,1,256,256,256,0.01665171635638298,13936985670883.234,0.002209503590425532,6341970563377.729,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
32,4,1,1,1,4,1,2,6,2,192,64,64,12,1,1,2,2,1,1,1,1,1,1,256,256,256,0.01651746994680851,10096475299304.4,0.0020752571808510638,2136220465358.5015,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891853604934.499
64,16,1,1,1,4,1,2,12,1,48,64,64,12,1,1,2,1,1,1,1,1,1,1,256,256,256,0.01717906010638298,10319907724964.678,0.002736847340425532,2359662352104.012,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891844143849.266
